goods_genre_id,avg_price
3,168482.4
4,47476.5
5,129025.0
6,39211.333333333336
7,158876.2
12,1381663.0
15,1197012.5
16,1315036.0
19,29577.0
20,154165.75
21,248176.0
22,52100.066666666666
23,167440.53846153847
24,164675.7037037037
26,71894.57142857143
29,63498.39473684211
30,129826.33333333333
31,42573.60625
32,41988.6
34,120571.0
36,222425.0
38,42881.25
39,108544.72222222222
41,27312.9203187251
42,96667.75
44,28968.470588235294
46,20584.5
50,34330.857142857145
56,26939.964285714286
58,26590.416666666668
59,92398.5
60,45314.42857142857
61,171138.33333333334
62,79763.0
63,67526.75
64,44575.181818181816
65,99287.0625
66,30284.083333333332
67,13455.6
68,47454.0
70,81622.5
71,29752.75
73,142723.16666666666
74,95758.0
76,162571.72222222222
77,149070.0
78,24784.666666666668
80,44943.0
82,6410.0
83,1911.0
84,8516.6
